고종이 러시아에 간 사건은?	ㅇㄱㅍㅊ	아관파천
고대 그리스 도시국가의 양대 세력인 아테네와 스파르타가 서로 패권을 다툰 전쟁입니다. 기원전 431년부터 404년까지 계속된 이 전쟁은 무엇일까요?	ㅍㄹㅍㄴㅅㅅㅈㅈ	펠로폰네소스전쟁
옛 잉카제국의 도시로 지상에서는 볼 수 없고 하늘에서나 그 존재가 확인되는 이 공중도시는 어디일까요?	ㅁㅊㅍㅊ	마추피추
보헤미안처럼 사회의 관습에 구애받지 않고 떠돌아다니는 방랑자나 자유분방한 생활을 하는 예술가를 부르는 말이 있습니다. 이 말은 무엇일까요?	ㅈㅅ	집시
최근 수질오염이 심각해지면서 어린 시절 보았던 곤충이나 물고기 등을 점점 찾아보기 힘들어지고 있는데요. 그 지역의 환경조건을 판단하게 해주는 생물을 말합니다.	ㅈㅍㅅㅁ	지표생물
이것은 1648년 종교 분쟁을 최종 타결한 세계 최초의 국제조약으로 잘 알려져 있습니다. 독일에서 루터파 이외에 칼뱅파를 새로 인정하게된 이 조약은?	ㅂㅅㅌㅍㄹㅈㅇ	베스트팔렌조약
동화 '플란다스의 개'를 보면 화가가 꿈인 주인공 네로가 추운 겨울밤 이 화가의 그림을 보고 숨을 거둡니다. 벨기에 플란다스지방 출신으로 램브란트와 함께 바로크시대를 대표하는 화가입니다. 이 화가는?	ㄹㅂㅅ	루벤스
모양과 맛을 더하기 위하여 음식 위에 뿌리거나 덧놓는 양념을 통틀어 이르는 이것은 무엇일까요?	ㄱㅁ	고명
프랑스 파리 시테 섬 동쪽 반쪽에 있는 프랑스 후기고딕 양식의 성당으로, 2019년 4월 15일 대화재가 일어난 이 건물의 이름은?	ㄴㅌㄹㄷㅅㄷ	노트르담성당
스케치의 한 종류로 움직이는 동물이나 사람을 단시간에 그리는 미술기법을 가리키는 말입니다. 작가의 느낌을 솔직하게 표현할 수 있는 이 기법은?	ㅋㄹㅋ	크로키
1882년 신식 군대 <별기군>의 창설과 민씨 정권에 대한 반발로 구식 군대가 일본 공사관을 공격한 사건은?	ㅇㅇㄱㄹ	임오군란
몸체를 뜻하는 이탈리어에서 유래된 조각용어입니다. 목, 팔, 다리 등이 없는 동체만으로 이뤄진 조각작품을 무엇이라고 할까요?	ㅌㄹㅅ	토르소
각국의 특별시장 모델이 되고 있는 이것은 미국 뿐만 아니라 전세계 벤처기업의 활동기반이 되는 장외 주식시장이다	ㄴㅅㄷ	나스닥
이 말은 원래 '터를 잡은 자취'를 듯하는 말이었다. 이치나 도리에 맞지 않을 때 '이것 없다'라는 말을 한다. '터를 잡았던 흔적이 없다'는 말이다	ㅌㅁㄴ	터무니
그리스신화에는 헤라여신의 황금사과를 지키는 괴물 아르고스에 대한 이야기가 있다. 백 개의 눈을 가진 아르고스가 헤라클레스에 의해 죽임을 당하자 헤라 여신은 그의 눈을 날개가 화려한 이 새에게 달아주었다고 한다	ㄱㅈ	공작
해커의 뜻은 '컴퓨터 프로그램을 향상시키기 위해 새로운 방법을 개발하는 사람'이라고 한다. 그래서 해커와 구분해 컴퓨터 시스템에 무단 침입해 시스템을 파괴하는 사람들을 이렇게 부른다	ㅋㄹㅋ	크래커
yes or no 등의 이분법으로 나눌 수 없는 인간의 애매모호한 사고작용을 수학적으로 나타낸 이론으로 최근 가전제품이나 자동제어 분야에 널리 응용되고 있다	ㅍㅈㅇㄹ	퍼지이론
노래하다를 뜻하는 라틴어와 이탈리아어 칸타레에서 파생된 음악용어. 17세기에는 오페라와 함께 가장 중요한 세속 성악곡이었으나, 19세기 이후에는 독창, 합창, 기악을 위한 대규모 악곡의 총칭이 되었다	ㅋㅌㅌ	칸타타
소프트웨어 배포 방법 중 하나. 사용자들이 일정 기간 소프트웨어를 무료로 사용해 본 후, 계속 사용하려면 비용을 지불하는 것이다	ㅅㅇㅇㅇ	셰어웨어
조선 중종 때 주세붕이 고려 유신 안향을 모시기 위해 세운 우리나라 최초의 서원.1548년 풍기군수로 부임한 이황의 건의로 소수서원이라는 사액을 받게 되며 최초의 사액서원으로 인정받게 되었다	ㅂㅇㅇㅅㅇ	백운동서원
이것의 사전적 의미는 야구에서 '타자가 안타를 쳐서 주자를 모두 득점하게 하는 것'을 말한다. 여기에서 파생된 것으로 3,4,5번의 강타자를 일컫는 이 용어는?	ㅋㄹㅇㅌㄹㅇ	클린업트리오
남아메리카에 있는 전설상의 황금마을. 16세기 에스파냐인들은 아마존강과 오리노코강의 중간쯤에 이 지역이 있다고 믿었는데, 18세기까지 탐험가들의 발길이 끊이지 않았다고 한다	ㅇㄷㄹㄷ	엘도라도
춘추시대 주나라 환왕과 그의 제후인 정나라 장공과의 싸움에서 장공이 쓴 군사작전에서 유래한 말. 전차를 앞세운 장공은 전차의 간격이 벌어지자 병사들에게 그 사이를 메우도록 했다. 임시변통으로 잠시 눈가림하는 방법을 뜻하는 이 말은?	ㅁㅂㅊ	미봉책
1년 중 건기와 우기가 뚜렷하게 구분되는 열대지방의 기후. 기온의 연변화가 적으며, 아프리카에 가장 널리 분포하고 쾨펜의 기후구분으로는 Aw기후에 해당한다	ㅅㅂㄴ	사바나
어떤 단일한 세포로부터 무성생식에 의해 생겨난 세포를 가리키는 말 일반적으로 복제라고 해석. 유전적으로 동일한 개체를 의미하는 이 단어는?	ㅋㄹ	클론
열량과 온도에 대한 물질계의 상태를 나타내는 열역학적 수량의 하나인 이것은 변화를 뜻하는 그리스어에서 유래. 물체의 온도가 변화할 때보다 일정할 때 이것이 크다고 말한다	ㅇㅌㄹㅍ	엔트로피
영국의 세균학자(1881~1955). 항생물질 라이소자임을 발견하고 곰팡이로부터 페니실린을 추출하였으며, 1945년에 노벨 생리,의학상을 받았다	ㅍㄹㅁ	플레밍
1927년에 조직된 항일운동 단체인 이것은 민족주의자와 사회주의자가 연합한 합법적 단체로 민족의 단결과 정치,경제적 각성을 촉구했다. 이상재, 신채호, 안재홍 등이 참여해서 비타협적이고 투쟁적인 운동을 전개한 이 단체는?	ㅅㄱㅎ	신간회
이것은 50~60년대 뉴욕으로 이주한 쿠바인들이 발전시킨 댄스음악이다. 남미의 전통 리듬에 재즈, 록, 소울 등의 요소가 혼합되어 강렬하고 활기 넘치는 리듬이 특징이다	ㅅㅅ	살사
동물의 기관은 사용하지 않으면 그 기능을 상실하게 된다. 사람의 귀는 움직이지 않지만 그러한 작용을 맡아했던 힘살이 아직 남아있다. 이렇게 남아있기는 하지만 그 기능은 퇴화해버린 기관을 무슨 기관이라고 하는가?	ㅎㅈㄱㄱ	흔적기관
남아메리카에 있는 에콰도르령인 섬. 1535년 영국의 생물학자 다윈이 이 제도를 탐험한 이후 널리 알려졌는데, '생물 진화의 야외실험장'이라 불릴 정도로 다양한 생물들이 많이 서식하고 있다	ㄱㄹㅍㄱㅅ	갈라파고스
고등동물의 조직 사이를 채우는 무색의 액체. 이것은 혈관과 조직을 연결하며 면역항체를 수송하고, 장에서는 지방을 흡수하여 운반하는 역할을 한다	ㄹㅍㅇ	림프액
그리스신화에 나오는 티탄 신족의 하나인 이 신이 제우스가 감추어 둔 불을 훔쳐 인간에게 내주었다는 내용이 있다. 후에 이 신은 제우스의 명령으로 코카서스산의 바위에 묶여 매일 낮마다 독수리에 의해 간을 쪼아 먹히는 고통을 당했다. '먼저 생각하는 사람'을 뜻하는 이 신은?	ㅍㄹㅁㅌㅇㅅ	프로메테우스
제1차 세계대전 말엽부터 유럽과 미국을 중심으로 일어난 예술 문학 운동이다. 중립국인 스위스의 취리히에서 시작된 이것은 전통적인 예술형식을 부정하고 반도덕, 비심미적인 것을 찬미했다. 미국에서도 모나리자의 복제에 카이저수염을 붙이는 등 기성 권위에 대해서 불신을 나타냈다	ㄷㄷㅇㅈ	다다이즘
